run_id,benchmark,method,noise_type,noise_rate,seed,task,gate_mean,gate_on_correct,gate_on_wrong,gate_separation,corr_gate_correct,buffer_purity,admission_rate
cifar10n_taskil__c10n_worse__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,4,4,0.1561252131646401,0.1684453421457837,0.13643187788952982,0.03201346425625387,0.08087846771497897,0.668,0.1568421052631579
cifar10n_taskil__c10n_worse__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:worse,0.4,0,0,0.6759858612807458,0.7498016301217886,0.5552262128104938,0.1945754173112948,0.389456433811895,0.678,0.6776842105263158
cifar10n_taskil__c10n_worse__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:worse,0.4,0,1,0.6897223158321942,0.724398827478408,0.6445958089127513,0.07980301856565675,0.18328793035680171,0.632,0.689
cifar10n_taskil__c10n_worse__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:worse,0.4,0,2,0.686757083068482,0.7015121429854538,0.669509159147273,0.03200298383818079,0.08316945565092487,0.59,0.6867368421052632
cifar10n_taskil__c10n_worse__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:worse,0.4,0,3,0.7140125218368596,0.7599301424085784,0.6261211254051031,0.13380901700347525,0.29823688524468034,0.582,0.715842105263158
cifar10n_taskil__c10n_worse__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:worse,0.4,0,4,0.7076449559973389,0.755349752210585,0.6308454763793109,0.1245042758312741,0.2625548909523918,0.616,0.7041578947368421
cifar10n_taskil__c10n_worse__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:worse,0.393,1,0,0.6894458184920466,0.7296824604878761,0.6190782651868402,0.11060419530103593,0.2540951316216811,0.664,0.6894210526315789
cifar10n_taskil__c10n_worse__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:worse,0.393,1,1,0.6776216922350633,0.6921511117094596,0.6590980741120542,0.03305303759740541,0.06844714889027347,0.596,0.6755789473684211
cifar10n_taskil__c10n_worse__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:worse,0.393,1,2,0.6899202049927328,0.7120848126241041,0.6636124893050374,0.0484723233190667,0.12420715721342264,0.612,0.6904210526315789
cifar10n_taskil__c10n_worse__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:worse,0.393,1,3,0.6989610328729062,0.7563570575186295,0.586175336502908,0.1701817210157215,0.337296330528444,0.64,0.6964736842105264
cifar10n_taskil__c10n_worse__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:worse,0.393,1,4,0.6951638168640133,0.7498474876001988,0.5998778363317916,0.14996965126840722,0.28474890133696984,0.658,0.7002105263157895
cifar10n_taskil__c10n_worse__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:worse,0.402,2,0,0.6862557777939857,0.7395886090109848,0.601307523704901,0.13828108530608374,0.29584077472239734,0.644,0.6871052631578948
cifar10n_taskil__c10n_worse__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:worse,0.402,2,1,0.6858984977502864,0.7111309398749638,0.6526084300643109,0.05852250981065288,0.1359386334028561,0.632,0.6854210526315789
cifar10n_taskil__c10n_worse__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:worse,0.402,2,2,0.6954018744495675,0.7041861465967464,0.6861700443950624,0.018016102201684037,0.051241726235635957,0.598,0.6923684210526316
cifar10n_taskil__c10n_worse__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:worse,0.402,2,3,0.7056258139031015,0.7479930241232898,0.6159429922690286,0.13205003185426123,0.2785984936604239,0.642,0.704421052631579
